gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
857360989,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Helianthemum,Helianthemum hirtum,,SPECIES,Helianthemum hirtum (L.) Mill.,Helianthemum hirtum Mill.,Mill.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.190132,-3.245803,1,,1508,0,,,,,,,3595086,3595086,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-389-007103-20041022,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.525Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857360988,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Crocus,Crocus nevadensis,,SPECIES,Crocus nevadensis Amo & Campo,Crocus nevadensis Amo & Campo,Amo & Campo,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.185305,-3.2564,1,,1682,0,,,,,,,2747328,2747328,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-388-012683-20041020,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:21.044Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857360987,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus pyrenaica,,SPECIES,Quercus pyrenaica Willd.,Quercus pyrenaica Willd.,Willd.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.190132,-3.245803,1,,1508,0,,,,,,,2878826,2878826,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-389-006134-20041022,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.470Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857360986,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Sorbus,Sorbus aria,,SPECIES,Sorbus aria Wimm. ex Nyman,Sorbus aria Wimm. ex Nyman,Wimm. ex Nyman,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.190132,-3.245803,1,,1508,0,,,,,,,7956124,7956124,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-389-007701-20041022,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.614Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857360985,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,Centaurea ornata,,SPECIES,Centaurea ornata Willd.,Centaurea ornata Willd.,Willd.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.185305,-3.2564,1,,1682,0,,,,,,,3128025,3128025,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-388-011186-20041020,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.083Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857360984,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rotundifolia,ballota,SUBSPECIES,Quercus ilex subsp. ballota (Desf.) Bonafé,Quercus ilex L. subsp. ballota,,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.190132,-3.245803,1,,1508,0,,,,,,,2881553,2881550,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-389-006130-20041022,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.212Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857360983,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Carlina,Carlina corymbosa,,SPECIES,Carlina corymbosa L.,Carlina corymbosa L.,L.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.185305,-3.2564,1,,1682,0,,,,,,,3105391,3105391,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-388-011285-20041020,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.242Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857360982,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,Berberis,Berberis hispanica,,SPECIES,Berberis hispanica Boiss. & Reut.,Berberis hispanica Boiss. & Reut.,Boiss. & Reut.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.190132,-3.245803,1,,1508,0,,,,,,,8428417,8428417,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-389-005966-20041022,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:19.434Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857360981,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chondrilla,Chondrilla brevirostris,,SPECIES,"Chondrilla juncea Ledeb., 1833",Chondrilla juncea Ledeb.,Ledeb.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.185305,-3.2564,1,,1682,0,,,,,,,9201957,5403804,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-388-010963-20041020,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.579Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
857360980,db6cd9d7-7be5-4cd0-8b3c-fb6dd7446472,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa pouzinii,,SPECIES,Rosa pouzinii Tratt.,Rosa pouzinii Tratt.,Tratt.,ES,,Gr,PRESENT,,4b4b2111-ee51-45f5-bf5e-f535f4a1c9dc,37.185305,-3.2564,1,,1682,0,,,,,,,3008098,3008098,HUMAN_OBSERVATION,OBSNEV,SINFONEVADA,SINFON-388-079340-20041020,,,,CC_BY_NC_4_0,,,,,2022-05-25T18:17:20.263Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
