taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory
5384805,Silene latifolia Poir.,5384805,Silene latifolia Poir.,6,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Caryophyllaceae,2518,Silene,3085897.0,Silene latifolia,5384805.0,Not Evaluated
2683969,Cupressus arizonica Greene,2683969,Cupressus arizonica Greene,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Pinopsida,194,Pinales,640,Cupressaceae,8144,Cupressus,10225588.0,Cupressus arizonica,2683969.0,Least Concern
7306663,Thymus serpylloides subsp. serpylloides,7306663,Thymus serpylloides subsp. serpylloides,33,SUBSPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Thymus,2926960.0,Thymus serpylloides,7306662.0,
5347721,Genista cinerea subsp. speciosa Rivas Mart. et al.,7225001,Genista cinerea subsp. cinerea,42,SUBSPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Genista,2940025.0,Genista cinerea,5347718.0,
2701798,Juncus tingitanus Maire & Weiller,2701798,Juncus tingitanus Maire & Weiller,3,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Juncaceae,5353,Juncus,2701072.0,Juncus tingitanus,2701798.0,Endangered
7308670,Teucrium capitatum L.,7308670,Teucrium capitatum L.,57,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Teucrium,2926895.0,Teucrium capitatum,7308670.0,Not Evaluated
3022789,Prunus mahaleb L.,3022789,Prunus mahaleb L.,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Rosales,691,Rosaceae,5015,Prunus,3020559.0,Prunus mahaleb,3022789.0,Least Concern
2959219,Echinospartum boissieri (Spach) Rothm.,2959219,Echinospartum boissieri (Spach) Rothm.,69,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Echinospartum,2959218.0,Echinospartum boissieri,2959219.0,Least Concern
2915229,Galium fruticescens Cav.,2915230,Galium lucidum subsp. fruticescens (Cav.) O.Bolòs & Vigo,7,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Gentianales,412,Rubiaceae,8798,Galium,2913027.0,Galium lucidum,2913863.0,Not Evaluated
3034740,Daucus L.,3034740,Daucus L.,1,GENUS,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Apiales,1351,Apiaceae,6720,Daucus,3034740.0,,,Not Evaluated
3128734,Centaurea pulvinata (Blanca) Blanca,3128734,Centaurea pulvinata (Blanca) Blanca,37,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Centaurea,3127469.0,Centaurea pulvinata,3128734.0,Vulnerable
6301188,Santolina rosmarinifolia subsp. canescens (Lag.) Nyman,3125946,Santolina canescens Lag.,8,SUBSPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Santolina,3125925.0,Santolina canescens,3125946.0,
7461405,Euphorbia nicaeensis Sebast. & Maur.,7461405,Euphorbia nicaeensis Sebast. & Maur.,19,SPECIES,DOUBTFUL,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malpighiales,1414,Euphorbiaceae,4691,Euphorbia,3063749.0,Euphorbia nicaeensis,7461405.0,Not Evaluated
2706465,Agrostis canina L.,2706465,Agrostis canina L.,14,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Agrostis,2706434.0,Agrostis canina,2706465.0,Least Concern
4121435,Arrhenatherum album (Vahl) Clayton,4121435,Arrhenatherum album (Vahl) Clayton,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Arrhenatherum,2704504.0,Arrhenatherum album,4121435.0,Not Evaluated
9151957,Medicago sativa L.,9151957,Medicago sativa L.,5,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Medicago,2965200.0,Medicago sativa,9151957.0,Least Concern
6375040,Helleborus foetidus L.,6375040,Helleborus foetidus L.,58,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Ranunculales,399,Ranunculaceae,2410,Helleborus,2741682.0,Helleborus foetidus,6375040.0,Not Evaluated
9201957,"Chondrilla juncea Ledeb., 1833",5403804,Chondrilla brevirostris Fisch. & C.A.Mey.,3,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Chondrilla,3144317.0,Chondrilla brevirostris,5403804.0,Not Evaluated
3596501,Cistus laurifolius L.,3596501,Cistus laurifolius L.,25,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malvales,941,Cistaceae,6635,Cistus,2874026.0,Cistus laurifolius,3596501.0,Not Evaluated
7905886,"Thymus mastichina Sm., 1809",7905886,"Thymus mastichina Sm., 1809",135,SPECIES,DOUBTFUL,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Lamiaceae,2497,Thymus,2926960.0,Thymus mastichina,7905886.0,Not Evaluated
7946696,Odontites longiflora (Vahl) Webb,7946696,Odontites longiflora (Vahl) Webb,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Orobanchaceae,6651,Odontites,3172217.0,Odontites longiflora,7946696.0,Not Evaluated
2705308,Dactylis glomerata L.,2705308,Dactylis glomerata L.,45,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Dactylis,2705307.0,Dactylis glomerata,2705308.0,Not Evaluated
2881553,Quercus ilex subsp. ballota (Desf.) Bonafé,2881550,Quercus rotundifolia Lam.,356,SUBSPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fagales,1354,Fagaceae,4689,Quercus,2877951.0,Quercus rotundifolia,2881550.0,
7999850,Juniperus phoenicea Pall.,2684648,Juniperus foetidissima Willd.,20,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Pinopsida,194,Pinales,640,Cupressaceae,8144,Juniperus,2684359.0,Juniperus foetidissima,2684648.0,Not Evaluated
7999870,Paronychia capitata (L.) Lam.,7999870,Paronychia capitata (L.) Lam.,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Caryophyllaceae,2518,Paronychia,8020237.0,Paronychia capitata,7999870.0,Not Evaluated
2769766,Ruscus aculeatus L.,2769766,Ruscus aculeatus L.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Asparagales,1169,Asparagaceae,7683,Ruscus,2769754.0,Ruscus aculeatus,2769766.0,Not Evaluated
2710971,Scirpus holoschoenus L.,2718201,Scirpoides holoschoenus (L.) Soják,2,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Scirpoides,2718197.0,Scirpoides holoschoenus,2718201.0,Least Concern
2974863,Vicia onobrychioides L.,2974863,Vicia onobrychioides L.,5,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Vicia,2974751.0,Vicia onobrychioides,2974863.0,Not Evaluated
5347768,Genista umbellata Salzm. ex DC.,5347829,Genista aspalathoides Lam.,59,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Genista,2940025.0,Genista aspalathoides,5347829.0,Near Threatened
6294629,Centaurea boissieri var. boissieri,6294629,Centaurea boissieri var. boissieri,1,VARIETY,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Centaurea,3127469.0,Centaurea boissieri,3128001.0,
7424425,Sedum forsterianum Rchb.,5361991,Sedum sexangulare L.,9,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Saxifragales,7219248,Crassulaceae,2406,Sedum,5361975.0,Sedum sexangulare,5361991.0,Not Evaluated
4246571,Helichrysum italicum var. serotinum (Boiss.) O.Bolòs & Vigo,5831462,Helichrysum serotinum subsp. serotinum,131,VARIETY,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Helichrysum,3131108.0,Helichrysum serotinum,6064877.0,
