taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
3595820	Halimium umbellatum subsp. viscosum (Willk.) O.Bolòs & Vigo	3595820	Halimium umbellatum subsp. viscosum (Willk.) O.Bolòs & Vigo	100	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Cistaceae	6635	Halimium	6437972	Halimium umbellatum	7331332	
3029430	Sanguisorba minor Scop.	7220805	Poterium sanguisorba subsp. sanguisorba	143	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Poterium	3001016	Poterium sanguisorba	5364245	NE
3138230	Carthamus lanatus L.	3138230	Carthamus lanatus L.	28	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Carthamus	3138214	Carthamus lanatus	3138230	NE
2879175	Quercus coccifera L.	2879175	Quercus coccifera L.	22	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus coccifera	2879175	LC
5386	Fabaceae	5386	Fabaceae	16	FAMILY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386					NE
7942614	Rhamnus lycioides Brot.	7273886	Rhamnus oleoides subsp. oleoides	7	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rhamnaceae	2407	Rhamnus	3039471	Rhamnus oleoides	7867604	NE
2704468	Stipa tenacissima L.	2704468	Stipa tenacissima L.	40	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Stipa	2704463	Stipa tenacissima	2704468	VU
9051413	Mentha pulegium Luce	9051413	Mentha pulegium Luce	6	SPECIES	DOUBTFUL	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Mentha	2927173	Mentha pulegium	9051413	NE
3024294	Geum L.	3024294	Geum L.	3	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Geum	3024294			NE
2890541	Geranium purpureum Vill.	2890541	Geranium purpureum Vill.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Geraniales	624	Geraniaceae	4676	Geranium	2889949	Geranium purpureum	2890541	NE
3050712	Hormathophylla spinosa (L.) P.Küpfer	3050712	Hormathophylla spinosa (L.) P.Küpfer	75	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Hormathophylla	3050677	Hormathophylla spinosa	3050712	NE
3105508	Andryala integrifolia L.	3105508	Andryala integrifolia L.	13	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Andryala	3105480	Andryala integrifolia	3105508	NE
5341443	Thymus pulegioides L.	5341443	Thymus pulegioides L.	18	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Thymus	2926960	Thymus pulegioides	5341443	NE
3105533	Andryala ragusina L.	3105533	Andryala ragusina L.	10	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Andryala	3105480	Andryala ragusina	3105533	NE
3023878	Amelanchier ovalis Medik.	3023878	Amelanchier ovalis Medik.	51	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Amelanchier	3023817	Amelanchier ovalis	3023878	NE
3809220	Dianthus pungens subsp. brachyanthus (Boiss.) Bernal, Fern.Casas, G.López, M.Laínz & Muñoz Garm.	3809220	Dianthus pungens subsp. brachyanthus (Boiss.) Bernal, Fern.Casas, G.López, M.Laínz & Muñoz Garm.	23	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Caryophyllaceae	2518	Dianthus	3085411	Dianthus pungens	8330248	
3146150	Picnomon acarna (L.) Cass.	3146150	Picnomon acarna (L.) Cass.	10	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Picnomon	3146149	Picnomon acarna	3146150	NE
7956664	Quercus faginea Ten.	7226619	Quercus pubescens subsp. pubescens	7	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus pubescens	2881283	NE
7331435	Cistus albidus L.	7331435	Cistus albidus L.	76	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Cistaceae	6635	Cistus	2874026	Cistus albidus	7331435	NE
7732806	Lonicera etrusca Ten.	5598568	Lonicera stabiana Pasq.	3	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Dipsacales	946	Caprifoliaceae	6710	Lonicera	2888645	Lonicera stabiana	5598568	NE
3895398	Acinos alpinus subsp. meridionalis (Nyman) P.W.Ball	3888325	Clinopodium alpinum subsp. meridionale (Nyman) Govaerts	19	SUBSPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Clinopodium	2926907	Clinopodium alpinum	7307319	
3096840	Ptilostemon hispanicus (Lam.) Greuter	3096840	Ptilostemon hispanicus (Lam.) Greuter	89	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Ptilostemon	3096839	Ptilostemon hispanicus	3096840	NE
2739695	Merendera pyrenaica (Pourr.) P.Fourn.	2739671	Colchicum montanum L.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Liliales	1172	Colchicaceae	7697	Colchicum	2739608	Colchicum montanum	2739671	NE
7301101	Knautia subscaposa Boiss. & Reut.	7301101	Knautia subscaposa Boiss. & Reut.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Dipsacales	946	Caprifoliaceae	6710	Knautia	2888807	Knautia subscaposa	7301101	NE
